Strain,Habitat,PULDB URL
F. akiainvivens IK-1,decaying wood,
F. antarcticum DSM 19726,Soil,http://www.cazy.org/PULDB/index.php?sp_name=Flavobacterium+antarcticum+DSM+19726
F. aquidurense RC62,NA,
F. beibuense F44-8,tomato rhizosphere,
F. branchiophilum FL-15,NA,http://www.cazy.org/PULDB/index.php?sp_name=Flavobacterium+branchiophilum+FL-15
F. cauense R2A-7,Aquatic,
F. columnare  ATCC 49512,diseased channel catfish,http://www.cazy.org/PULDB/index.php?sp_name=Flavobacterium+columnare+ATCC+49512
F. columnare 94-081,catfish,
F. chungangense LMG 26729,freshwater lake ,
F. daejeonense DSM 17708,Greenhouse soils,http://www.cazy.org/PULDB/index.php?sp_name=Flavobacterium+daejeonense+DSM+17708
F. denitrificans DSM 15936,Host; Soil,
F. enshiense DK69,Terrestrial,
F. filum DSM 17961,Wastewater treatment plant;Wastewater; Host,http://www.cazy.org/PULDB/index.php?sp_name=Flavobacterium+filum+DSM+17961
F. frigidarium DSM 17623,Marine sediment;Isolation Comments From shallow water,http://www.cazy.org/PULDB/index.php?sp_name=Flavobacterium+frigidarium+DSM+17623
F. frigoris PS1,Aquatic,http://www.cazy.org/PULDB/index.php?sp_name=Flavobacterium+frigoris+PS1
F. gelidilacus DSM 15343,Mat; Fresh water; Antarctic,http://www.cazy.org/PULDB/index.php?sp_name=Flavobacterium+gelidilacus+DSM+15343
F. gilvum EM1308,environment biome Woodland,http://www.cazy.org/PULDB/index.php?sp_name=Flavobacterium+gilvum+EM1308
F. hibernum DSM 12611,Aquatic,
F. hydatis DSM 2063,HostAssociated:salmon gills from a freshwater fish,
F. indicum GPTSA100-9,NA,http://www.cazy.org/PULDB/index.php?sp_name=Flavobacterium+indicum+GPTSA100-9+%3D+DSM+17447
F. johnsoniae UW101,Multiple,http://www.cazy.org/PULDB/index.php?sp_name=Flavobacterium+johnsoniae+UW101
F. limnosediminis JC2902,Aquatic,
F. psychrophilum FPG101,diseased rainbow trout,http://www.cazy.org/PULDB/index.php?sp_name=Flavobacterium+psychrophilum+FPG101
F. reichenbachii LMG 25512,Aquatic,
F. rivuli DSM 21788,Aquatic,
F. saliperosum S13,Aquatic,
F. soli DSM 19725,Soil,http://www.cazy.org/PULDB/index.php?sp_name=Flavobacterium+soli+DSM+19725
F. sp. 316,brackish surface water,
F. sp. 83,NA,http://www.cazy.org/PULDB/index.php?sp_name=Flavobacterium+sp.+83
F. sp. ABG,freshwater Creek,
F. sp. ACAM 123,saline meromictic lagoon,
F. sp. AED,freshwater Creek,
F. sp. B17,NA,
F. sp. CF136,NA,http://www.cazy.org/PULDB/index.php?sp_name=Flavobacterium+sp.+CF136
F. sp. EM1321,fresh water,
F. sp. F52,rhizosphere of mature greenhouse bell pepper (Capsicum annuum L) plants grown in soilless media,http://www.cazy.org/PULDB/index.php?sp_name=Flavobacterium+sp.+F52
F. sp. Fl,NA,http://www.cazy.org/PULDB/index.php?sp_name=Flavobacterium+sp.+Fl
F. sp. JGI 0001001-D01,NA,
F. sp. JRM,freshwater Creek,
F. sp. KJJ,freshwater Creek,
F. sp. KMS,freshwater Creek,
F. sp. Leaf359,leaf,
F. sp. Leaf82,leaf,
F. sp. MEB061,leaf,
F. sp. MS220-5C,Fresh water,
F. sp. Root186,root,
F. sp. Root420,root,
F. sp. Root901,root,
F. sp. Root935,root,
F. sp. SCGC AAA160-P02,Marine,http://www.cazy.org/PULDB/index.php?sp_name=Flavobacterium+sp.+SCGC+AAA160-P02
F. sp. SCGC AAA536-P05,Marine; Aquatic,http://www.cazy.org/PULDB/index.php?sp_name=Flavobacterium+sp.+SCGC+AAA536-P05
F. sp. TAB87,sea water,
F. sp. URHB0058,Soil,http://www.cazy.org/PULDB/index.php?sp_name=Flavobacterium+sp.+URHB0058
F. sp. VMW,freshwater Creek,
F. sp. WG21,Wintergreen Lake,
F. sasangense DSM 21067,Aquatic,http://www.cazy.org/PULDB/index.php?sp_name=Flavobacterium+sasangense+DSM+21067
F. subsaxonicum DSM 21790,Aquatic,
F. succinicans LMG 10402,Aquatic,
F. suncheonense DSM 17707,Soil,
F. tegetincola DSM 22377,Cyanobacterial mat from a marine salinity meromictic lake:Marine; Mat; Antarctic; Fresh water; Aquatic,http://www.cazy.org/PULDB/index.php?sp_name=Flavobacterium+tegetincola+DSM+22377
F. sp. SLB02,water,http://www.cazy.org/PULDB/index.php?sp_name=Flavobacterium+sp.+SLB02
F. columnare ATCC 49512,water(skin),http://www.cazy.org/PULDB/index.php?sp_name=Flavobacterium+columnare+ATCC+49512
F. indicum GPTSA100-9 = DSM 17447,soil,http://www.cazy.org/PULDB/index.php?sp_name=Flavobacterium+indicum+GPTSA100-9+%3D+DSM+17447
